Правильный вариант;Распознанный
Уза;узо
Уза;Яуза
Уза;яуза
Кацуры;который
Кацуры;которые
Кацуры;которых
Кацуры;которым
Кацуры;которому
Пхов;hoff
Пхов;have
Пхов;коф
Терюха;кирюха
Бабичи;бабыча
Бабичи;бабича
Бабичи;бабичев
Бабичи;бабищи
Буда-Кошелевская;будакошелевский
Буда-Кошелевская;Будакошелевский
Буда-Кошелевская;буда кошелевская
Буда-Кошелевская;Буда кошелевская
Василевичи;васильевича
Василевичи;Васильевича
Василевичи;васильевичи
Василевичи;Васильевичи
Василевичи;Васильевич
Копцевичи;капцевич
Лазурная;лазурной
Лазурная;Лазурной
Лазурная;Лазурное
Лазурная;лазурное
Мышанка;мышонка
Мышанка;Мышонка
Салтановка;солтановка
Салтановка;Солтановка
Жлобин;Злобин
Жлобин;злобин
Жлобин-Подольский;Жлобин Подольске